 't," ""An it"
 1," ""A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3."""
 B C," ""The simplest rudiments of any subject; as"
 Dei," ""A triple prayer in the sacrifice of the Mass"
 Dianae," ""A precipitation of silver"
 Fools' Day," ""The first day of April"
 Graecum," ""Dung of dogs or hyenas"
 Maria," ""Alt. of Ave Mary"""
 Mary," ""A particular time (as in Italy"
 Mater," ""A college or seminary where one is educated."""
 Saints," ""Alt. of All Saints'"""
 Souls' Day," ""The second day of November; a feast day of the Roman Catholic church"
 Wednesday," ""The first day of Lent; -- so called from a custom in the Roman Catholic church of putting ashes"
 bed," ""A sack or matters inflated with air"
 bird," ""See Ant bird"
 bladder," ""A sac or bladder full of air in an animal or plant; also an air hole in a casting."""
 book," ""A book in which accounts are kept."""
 box," ""The journal box of a rotating axle"
 brake," ""A railway brake operated by condensed air."""
 brick," ""A wedge-shaped brick used in the building of an arch."""
 cappella," ""A time indication"
 castus," ""A species of Vitex (V. agnus castus); the chaste tree."""
 cell," ""A receptacle of air in various parts of the system; as"
 chamber," ""A cavity containing air to act as a spring for equalizing the flow of a liquid in a pump or other hydraulic machine."""
 cock," ""A faucet to allow escape of air."""
 cup," ""The involucre or cup in which the acorn is fixed."""
 damp," ""An irrespirable gas"
 drill," ""A drill driven by the elastic pressure of condensed air; a pneumatic drill."""
 egg," ""One of the small white egg-shaped pupae or cocoons of the ant"
 engine," ""An engine driven by heated or by compressed air."""
 eve," ""The evening before Allhallows. See Halloween."""
 fish," ""A small fish (Toxotes jaculator)"
 fly/," ""A dragon fly."""
 fortiori," ""With stronger reason."""
 fortis," ""Nitric acid."""
 fours," ""All four legs of a quadruped; or the two legs and two arms of a person."""
 furnace," ""A kind of furnace used in refining"
 gas," ""See under Gas."""
 gazelle," ""A beautiful Brazilian toucan Ramphastos ariel)."""
 grass," ""An herbaceous grasslike plant (Triglochin palustre"
 guard," ""The part of the framing of a railway car or truck"
 gun," ""A kind of gun in which the elastic force of condensed air is used to discharge the ball. The air is powerfully compressed into a reservoir attached to the gun"
 hail," ""All health; -- a phrase of salutation or welcome."""
 hole," ""A fault in a casting"
 jacket," ""A jacket having air-tight cells"
 lang syne," ""A Scottish phrase used in recalling recollections of times long since past."""
 level," ""Spirit level. See Level."""
